date,hours,deepsleep,lenadjust,noise,cycles,snore,cycle_duration
2019-09-27,8.97,0.4984152613333333,-14.933333333333334,0.021332928000000004,9.266666666666667,897.5333333333333,0.9679856115107913
2019-09-28,8.584666666666667,0.49596084333333335,-15.6,0.020578354066666662,9.066666666666666,901.5333333333333,0.9468382352941177
2019-09-29,8.674000000000001,0.4659963786666667,-15.266666666666667,0.02106044346666667,8.933333333333334,909.5333333333333,0.9709701492537315
2019-09-30,8.628666666666668,0.46025833199999994,-15.6,0.020320828666666665,8.8,1001.5333333333333,0.9805303030303031
2019-01-10,8.163333333333334,0.46931922266666665,-14.333333333333334,0.020492101733333334,8.333333333333334,974.0,0.9796
2019-02-10,8.224,0.47553629599999997,-14.333333333333334,0.0196660458,8.133333333333333,990.0,1.0111475409836066
2019-03-10,8.252,0.4754924066666667,-14.6,0.020804053066666668,8.2,992.0,1.0063414634146344
2019-04-10,7.960666666666667,0.4720652633333333,-15.0,0.020489020866666666,8.266666666666667,1014.0,0.9629838709677419
2019-05-10,7.901999999999999,0.47149314600000003,-14.333333333333334,0.0209908828,8.466666666666667,1014.0,0.9333070866141732
2019-06-10,7.910666666666667,0.49155214266666664,-14.8,0.018930328800000003,9.0,982.0,0.878962962962963
2019-07-10,7.687333333333333,0.504664788,-15.733333333333333,0.018173817733333333,8.6,974.0,0.8938759689922481
2019-08-10,7.444,0.5005917113333334,-15.4,0.0170500692,8.4,974.0,0.8861904761904762
2019-09-10,7.526666666666666,0.5113988700000001,-17.266666666666666,0.017140798466666666,8.466666666666667,1098.0,0.8889763779527559
2019-10-10,7.848,0.49668622600000006,-18.333333333333332,0.0171017724,8.4,1102.0,0.9342857142857143
2019-11-10,8.025333333333332,0.4871664766666666,-18.6,0.0191766692,8.666666666666666,918.0,0.9259999999999999
2019-12-10,8.011333333333333,0.491621282,-18.266666666666666,0.017829387866666664,8.866666666666667,328.0,0.9035338345864661
2019-10-13,8.31,0.500572668,-17.666666666666668,0.018829326133333334,9.4,332.0,0.8840425531914894
2019-10-14,8.172,0.5289993426666666,-17.333333333333332,0.018533079133333335,9.666666666666666,322.0,0.8453793103448277
